transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_YesNo,order,line_item_id,product_id,quantity,unit_price,line_item_amount,promo_item_YesNo
7,2019/04/01,12:04:43,3,12,558,No,1,1,52,1,2.5,2.5,No
11,2019/04/01,15:54:39,3,17,781,No,1,1,27,2,3.5,7,No
19,2019/04/01,14:34:59,3,17,788,Yes,1,1,46,2,2.5,5,No
32,2019/04/01,16:06:04,3,12,683,No,1,1,23,2,2.5,5,No
33,2019/04/01,19:18:37,3,17,99,Yes,1,1,34,1,2.45,2.45,No
39,2019/04/01,18:54:46,3,17,664,Yes,1,1,32,1,3,3,No
50,2019/04/01,13:03:49,3,12,316,No,1,1,49,2,3,6,No
53,2019/04/01,11:21:14,3,12,38,No,1,1,60,1,3.75,3.75,No
59,2019/04/01,19:30:55,3,12,370,Yes,1,1,51,2,3,6,No
62,2019/04/01,12:01:00,3,12,180,Yes,1,1,49,2,3,6,No
81,2019/04/01,13:20:51,3,12,35,Yes,1,1,35,2,3.1,6.2,No
90,2019/04/01,11:40:20,3,17,595,No,1,1,47,1,3,3,No
91,2019/04/01,12:27:43,3,12,500,No,1,1,25,2,2.2,4.4,No
94,2019/04/01,17:37:02,3,17,128,Yes,1,1,23,2,2.5,5,No
101,2019/04/01,12:26:34,3,17,599,Yes,1,1,48,2,2.5,5,No
103,2019/04/01,14:33:32,3,17,152,Yes,1,1,53,2,3,6,No
108,2019/04/01,16:11:18,3,17,65,No,1,1,40,1,3.75,3.75,No
112,2019/04/01,13:03:38,3,12,90,Yes,1,1,37,2,3,6,No
117,2019/04/01,18:25:04,3,12,82,Yes,1,1,60,1,3.75,3.75,No
120,2019/04/01,15:51:44,3,12,174,No,1,1,53,2,3,6,No
127,2019/04/01,13:58:40,3,12,116,No,1,1,41,2,4.25,8.5,No
134,2019/04/01,11:49:29,3,17,189,Yes,1,1,38,2,3.75,7.5,No
135,2019/04/01,17:01:36,3,17,131,Yes,1,1,40,1,3.75,3.75,No
137,2019/04/01,11:10:04,3,17,264,Yes,1,1,40,1,3.75,3.75,No
138,2019/04/01,13:17:42,3,17,722,Yes,1,1,38,1,3.75,3.75,No
141,2019/04/01,14:07:25,3,17,302,Yes,1,1,50,1,2.5,2.5,No
143,2019/04/01,13:17:00,3,12,174,Yes,1,1,59,2,4.5,9,No
150,2019/04/01,12:24:53,3,17,604,Yes,1,1,28,1,2,2,No
156,2019/04/01,12:30:00,3,17,32,No,1,1,34,1,2.45,2.45,No
156,2019/04/01,12:30:00,3,17,32,No,1,5,77,1,3,3,No
162,2019/04/01,19:07:40,3,17,470,No,1,1,55,1,4,4,No
165,2019/04/01,16:44:46,3,12,127,Yes,1,1,54,2,2.5,5,No
175,2019/04/01,19:54:12,3,17,553,Yes,1,1,47,1,3,3,No
180,2019/04/01,17:52:36,3,17,518,Yes,1,1,45,2,3,6,No
199,2019/04/01,14:24:55,3,12,112,Yes,1,1,41,2,4.25,8.5,No
199,2019/04/01,14:24:55,3,12,112,Yes,1,5,79,1,3.75,3.75,No
202,2019/04/01,17:26:58,3,17,437,No,1,1,37,2,3,6,No
212,2019/04/01,17:03:21,3,17,552,No,1,1,50,1,2.5,2.5,No
219,2019/04/01,15:03:55,3,12,194,Yes,1,1,43,1,3,3,No
224,2019/04/01,14:54:27,3,17,788,No,1,1,38,2,3.75,7.5,No
226,2019/04/01,16:30:12,3,12,533,Yes,1,1,40,1,3.75,3.75,No
227,2019/04/01,12:09:11,3,17,521,No,1,1,28,2,2,4,No
238,2019/04/01,15:48:10,3,17,512,Yes,1,1,41,1,4.25,4.25,No
247,2019/04/01,19:04:32,3,17,178,Yes,1,1,23,1,2.5,2.5,No
248,2019/04/01,14:30:49,3,12,416,Yes,1,1,32,2,3,6,No
249,2019/04/01,11:15:38,3,12,22,Yes,1,1,52,1,2.5,2.5,No
260,2019/04/01,18:14:31,3,12,642,Yes,1,1,61,2,4.75,9.5,No
262,2019/04/01,11:52:08,3,12,189,No,1,1,58,1,3.5,3.5,No
268,2019/04/01,16:04:10,3,17,223,No,1,1,42,2,2.5,5,No
269,2019/04/01,19:25:00,3,12,40,Yes,1,1,53,1,3,3,No
270,2019/04/01,11:27:00,3,17,344,No,1,1,49,1,3,3,No
276,2019/04/01,16:10:37,3,12,401,No,1,1,42,2,2.5,5,No
281,2019/04/01,11:27:06,3,12,189,No,1,1,31,2,2.2,4.4,No
290,2019/04/01,14:58:35,3,12,517,No,1,1,43,1,3,3,No
296,2019/04/01,14:49:18,3,17,328,Yes,1,1,39,1,4.25,4.25,No
296,2019/04/01,14:49:18,3,17,328,Yes,1,5,79,1,3.75,3.75,No
297,2019/04/01,12:05:26,3,12,331,No,1,1,48,2,2.5,5,No
298,2019/04/01,18:30:05,3,17,414,No,1,1,55,2,4,8,No
317,2019/04/01,19:57:08,3,12,567,No,1,1,48,1,2.5,2.5,No
325,2019/04/01,19:23:13,3,12,526,No,1,1,22,2,2,4,No
326,2019/04/01,12:05:31,3,12,659,No,1,1,52,2,2.5,5,No
334,2019/04/01,18:12:37,3,17,492,No,1,1,25,2,2.2,4.4,No
337,2019/04/01,18:14:17,3,17,655,Yes,1,1,39,2,4.25,8.5,No
344,2019/04/01,17:28:16,3,12,500,Yes,1,1,41,1,4.25,4.25,No
357,2019/04/01,15:34:10,3,12,530,No,1,1,41,2,4.25,8.5,No
